day,2019,Length
131,2019/5/11,12.945
132,2019/5/12,12.958
133,2019/5/13,12.971
134,2019/5/14,12.983
135,2019/5/15,12.996
136,2019/5/16,13.008
137,2019/5/17,13.019
138,2019/5/18,13.031
139,2019/5/19,13.042
140,2019/5/20,13.053
141,2019/5/21,13.064
142,2019/5/22,13.075
143,2019/5/23,13.085
144,2019/5/24,13.095
145,2019/5/25,13.105
146,2019/5/26,13.114
147,2019/5/27,13.123
148,2019/5/28,13.132
149,2019/5/29,13.141
150,2019/5/30,13.149
151,2019/5/31,13.157
152,2019/6/1,13.164
153,2019/6/2,13.172
154,2019/6/3,13.179
155,2019/6/4,13.185
156,2019/6/5,13.191
157,2019/6/6,13.198
158,2019/6/7,13.203
159,2019/6/8,13.208
160,2019/6/9,13.213
161,2019/6/10,13.218
162,2019/6/11,13.221
163,2019/6/12,13.225
164,2019/6/13,13.229
165,2019/6/14,13.232
166,2019/6/15,13.234
167,2019/6/16,13.236
168,2019/6/17,13.238
169,2019/6/18,13.24
170,2019/6/19,13.241
171,2019/6/20,13.242
172,2019/6/21,13.242
173,2019/6/22,13.242
174,2019/6/23,13.242
175,2019/6/24,13.241
176,2019/6/25,13.24
177,2019/6/26,13.238
178,2019/6/27,13.236
179,2019/6/28,13.234
180,2019/6/29,13.231
181,2019/6/30,13.228
182,2019/7/1,13.225
183,2019/7/2,13.221
184,2019/7/3,13.217
185,2019/7/4,13.213
186,2019/7/5,13.208
187,2019/7/6,13.203
188,2019/7/7,13.197
189,2019/7/8,13.191
190,2019/7/9,13.185
191,2019/7/10,13.178
192,2019/7/11,13.171
193,2019/7/12,13.164
194,2019/7/13,13.156
195,2019/7/14,13.149
196,2019/7/15,13.141
197,2019/7/16,13.132
198,2019/7/17,13.123
199,2019/7/18,13.114
200,2019/7/19,13.105
201,2019/7/20,13.095
202,2019/7/21,13.085
203,2019/7/22,13.075
204,2019/7/23,13.064
205,2019/7/24,13.054
206,2019/7/25,13.043
207,2019/7/26,13.031
208,2019/7/27,13.02
209,2019/7/28,13.008
210,2019/7/29,12.996
211,2019/7/30,12.984
212,2019/7/31,12.972
213,2019/8/1,12.959
214,2019/8/2,12.946
215,2019/8/3,12.933
216,2019/8/4,12.92
217,2019/8/5,12.907
218,2019/8/6,12.893
219,2019/8/7,12.879
220,2019/8/8,12.866
221,2019/8/9,12.851
222,2019/8/10,12.837
223,2019/8/11,12.823
224,2019/8/12,12.808
225,2019/8/13,12.793
226,2019/8/14,12.779
227,2019/8/15,12.764
228,2019/8/16,12.748
229,2019/8/17,12.733
230,2019/8/18,12.718
231,2019/8/19,12.702
232,2019/8/20,12.687
233,2019/8/21,12.671
234,2019/8/22,12.655
235,2019/8/23,12.639
236,2019/8/24,12.623
237,2019/8/25,12.607
238,2019/8/26,12.591
239,2019/8/27,12.575
240,2019/8/28,12.558
241,2019/8/29,12.542
242,2019/8/30,12.526
243,2019/8/31,12.509
244,2019/9/1,12.492
245,2019/9/2,12.476
246,2019/9/3,12.459
247,2019/9/4,12.442
248,2019/9/5,12.425
249,2019/9/6,12.408
250,2019/9/7,12.391
251,2019/9/8,12.374
252,2019/9/9,12.357
253,2019/9/10,12.34
254,2019/9/11,12.323
255,2019/9/12,12.306
256,2019/9/13,12.289
257,2019/9/14,12.271
258,2019/9/15,12.254
259,2019/9/16,12.237
260,2019/9/17,12.22
261,2019/9/18,12.203
262,2019/9/19,12.185
263,2019/9/20,12.168
264,2019/9/21,12.151
265,2019/9/22,12.133
266,2019/9/23,12.116
267,2019/9/24,12.099
268,2019/9/25,12.081
269,2019/9/26,12.064
270,2019/9/27,12.047
271,2019/9/28,12.029
272,2019/9/29,12.012
273,2019/9/30,11.995
274,2019/10/1,11.978
275,2019/10/2,11.96
276,2019/10/3,11.943
277,2019/10/4,11.926
278,2019/10/5,11.909
279,2019/10/6,11.891
280,2019/10/7,11.874
281,2019/10/8,11.857
282,2019/10/9,11.84
283,2019/10/10,11.823
284,2019/10/11,11.806
285,2019/10/12,11.789
286,2019/10/13,11.773
287,2019/10/14,11.756
288,2019/10/15,11.739
289,2019/10/16,11.722
290,2019/10/17,11.706
291,2019/10/18,11.689
292,2019/10/19,11.673
293,2019/10/20,11.656
294,2019/10/21,11.64
295,2019/10/22,11.624
296,2019/10/23,11.608
297,2019/10/24,11.592
298,2019/10/25,11.576
299,2019/10/26,11.56
300,2019/10/27,11.544
301,2019/10/28,11.529
302,2019/10/29,11.513
303,2019/10/30,11.498
304,2019/10/31,11.483
305,2019/11/1,11.468
306,2019/11/2,11.453
307,2019/11/3,11.438
308,2019/11/4,11.423
309,2019/11/5,11.409
310,2019/11/6,11.394
311,2019/11/7,11.38
312,2019/11/8,11.366
313,2019/11/9,11.352
314,2019/11/10,11.339
315,2019/11/11,11.325
316,2019/11/12,11.312
317,2019/11/13,11.299
318,2019/11/14,11.286
319,2019/11/15,11.273
320,2019/11/16,11.261
321,2019/11/17,11.249
322,2019/11/18,11.237
323,2019/11/19,11.225
324,2019/11/20,11.214
325,2019/11/21,11.203
326,2019/11/22,11.192
327,2019/11/23,11.181
328,2019/11/24,11.171
329,2019/11/25,11.161
330,2019/11/26,11.151
331,2019/11/27,11.142
332,2019/11/28,11.133
333,2019/11/29,11.124
334,2019/11/30,11.115
335,2019/12/1,11.107
336,2019/12/2,11.099
337,2019/12/3,11.092
338,2019/12/4,11.085
339,2019/12/5,11.078
340,2019/12/6,11.071
341,2019/12/7,11.066
342,2019/12/8,11.06
343,2019/12/9,11.054
344,2019/12/10,11.049
345,2019/12/11,11.045
346,2019/12/12,11.041
347,2019/12/13,11.037
348,2019/12/14,11.033
349,2019/12/15,11.031
350,2019/12/16,11.028
351,2019/12/17,11.026
352,2019/12/18,11.024
353,2019/12/19,11.023
354,2019/12/20,11.021
355,2019/12/21,11.021
356,2019/12/22,11.021
357,2019/12/23,11.021
358,2019/12/24,11.021
359,2019/12/25,11.023
360,2019/12/26,11.024
361,2019/12/27,11.026
362,2019/12/28,11.028
363,2019/12/29,11.031
364,2019/12/30,11.034
365,2019/12/31,11.037
